fecha,moneda,precio_usd,volumen,tendencia_semanal,tendencia_mensual,volatilidad,modelo_mineria
2025-02-14,ETH,2726.02,1240341141.4,2666.5142857142855,3020.9990000000003,51.01874095435219,2715.7917722204743
2025-02-15,ETH,2693.56,522207024.56,2675.2000000000003,3000.5336666666667,49.46631682262044,2717.83741777638
2025-02-16,ETH,2661.59,597267557.19,2680.0214285714287,2973.4109999999996,45.57235690944209,2712.981934221104
2025-02-17,ETH,2744.13,1808500589.29,2691.7628571428572,2954.7346666666663,50.46282648780897,2702.7035473768833
2025-02-18,ETH,2670.43,2088590910.25,2701.5071428571428,2936.721666666667,34.281897416450576,2710.988837901507
2025-02-19,ETH,2715.47,967477746.93,2698.207142857143,2917.8906666666667,31.082060589221566,2702.877070321206
2025-02-20,ETH,2738.98,841013806.86,2707.1685714285713,2898.2686666666664,32.69741652814327,2705.3956562569647
2025-02-21,ETH,2661.6,2643981389.13,2697.965714285714,2878.938333333333,35.45653811688253,2712.112525005572
2025-02-22,ETH,2763.54,890496240.67,2707.962857142857,2859.7663333333335,43.05804830464769,2702.010020004458
2025-02-23,ETH,2819.92,1058360404.79,2730.5814285714287,2843.439,54.6606724645935,2714.316016003567
2025-02-24,ETH,2513.65,2290917461.03,2697.655714285714,2816.612333333333,97.65047957844654,2735.4368128028536
2025-02-25,ETH,2492.48,3220072359.52,2672.2342857142858,2791.968666666667,125.19703668711145,2691.079450242283
2025-02-26,ETH,2333.12,2258691011.15,2617.612857142857,2763.684333333333,176.20558851468198,2651.359560193827
2025-02-27,ETH,2305.51,1749329389.64,2555.6885714285713,2738.0069999999996,200.8840239564818,2587.711648155062
2025-02-28,ETH,2236.53,2863531712.08,2494.964285714286,2708.7546666666667,226.1854833874937,2531.27131852405
2025-03-01,ETH,2216.72,911551564.28,2416.847142857143,2674.3986666666665,211.94739502324424,2472.32305481924
2025-03-02,ETH,2518.51,2649980865.8,2373.7885714285717,2648.347666666667,131.92138687219023,2421.202443855392
2025-03-03,ETH,2147.5,2817538032.17,2321.4814285714288,2616.0440000000003,139.59020493674413,2440.663955084314
2025-03-04,ETH,2171.13,3312378978.4,2275.574285714286,2592.7763333333332,126.17800400717518,2382.031164067451
2025-03-05,ETH,2241.7,1419894367.7,2262.514285714286,2571.397,123.94040568717458,2339.850931253961
2025-03-06,ETH,2202.6,1241687549.9,2247.812857142857,2553.7473333333332,124.09372206981121,2320.2207450031688
2025-03-07,ETH,2140.93,1983561951.51,2234.155714285714,2532.161,130.63086067963226,2296.696596002535
2025-03-08,ETH,2203.24,601813434.43,2232.23,2516.037,131.02948090663952,2265.5432768020282
2025-03-09,ETH,2020.01,1140040601.08,2161.0157142857142,2495.9483333333337,71.40625296079962,2253.082621441623
2025-03-10,ETH,1864.38,2508045690.95,2120.57,2470.3356666666664,133.5116721489063,2206.4680971532985
2025-03-11,ETH,1922.98,2270225385.14,2085.12,2446.8403333333335,149.80029850881624,2138.050477722639
2025-03-12,ETH,1907.9,1544805794.26,2037.4342857142856,2421.7056666666667,144.69100246814008,2095.036382178111
2025-03-13,ETH,1863.87,1138988132.52,1989.0442857142857,2397.0939999999996,136.66663855980158,2057.609105742489
2025-03-14,ETH,1911.53,661654970.12,1956.2728571428572,2369.526,120.75322572837123,2018.8612845939915
2025-03-15,ETH,1937.46,277588743.46,1918.304285714286,2344.8996666666667,52.84870886378406,1997.3950276751934
2025-03-16,ETH,1886.94,448389175.16,1899.294285714286,2316.9303333333332,28.483684134998935,1985.4080221401548
2025-03-17,ETH,1926.41,544239998.37,1908.1557142857143,2291.358666666667,25.280103412941877,1965.714417712124
2025-03-18,ETH,1931.53,561709451.5,1909.3771428571429,2267.0233333333335,26.301636016424162,1957.8535341696993
2025-03-19,ETH,2056.92,1121121085.82,1930.6657142857143,2244.1163333333334,61.569670795792895,1952.5888273357596
2025-03-20,ETH,1982.66,678503902.02,1947.6357142857141,2221.190666666667,56.22991222266784,1973.4550618686078
2025-03-21,ETH,1965.08,497551382.23,1955.2857142857142,2196.177666666667,54.10151133350073,1975.2960494948866
2025-03-22,ETH,1980.4,229714664.93,1961.42,2170.891666666667,54.17780326539761,1973.2528395959093
2025-03-23,ETH,2006.05,302998157.14,1978.435714285714,2149.04,44.775795119336884,1974.6822716767274
2025-03-24,ETH,2081.53,800572022.69,2000.5957142857144,2126.306333333333,52.461936314837814,1980.955817341382
2025-03-25,ETH,2066.62,567133150.85,2019.8942857142858,2101.1963333333333,47.42646583820082,2001.0706538731058
2025-03-26,ETH,2009.64,672337092.62,2013.14,2084.3959999999997,44.55431554104074,2014.1805230984849
2025-03-27,ETH,2003.3,548864029.08,2016.0885714285716,2068.09,42.851407767030565,2013.272418478788
2025-03-28,ETH,1896.15,1103644177.42,2006.2414285714287,2053.5243333333333,60.720784313251166,2011.2779347830306
2025-03-29,ETH,1827.68,684034057.76,1984.4242857142856,2037.5966666666668,91.29309226461503,1988.2523478264245
2025-03-30,ETH,1807.48,617668227.48,1956.0571428571427,2023.2949999999998,111.96377192559684,1956.1378782611398
2025-03-31,ETH,1822.14,917704034.94,1919.0014285714285,2010.1423333333332,106.29659675149567,1926.406302608912
2025-04-01,ETH,1905.23,845243050.66,1895.9457142857143,1989.6996666666669,84.13406639744237,1905.5530420871298
2025-04-02,ETH,1794.63,1280088185.31,1865.23,1977.9373333333335,74.3925896847121,1905.488433669704
2025-04-03,ETH,1816.31,960953835.92,1838.517142857143,1966.11,43.85648705882528,1883.3167469357631
2025-04-04,ETH,1816.25,1091295574.19,1827.1028571428574,1951.9283333333333,36.06158330515026,1869.9153975486106
2025-04-05,ETH,1805.19,274947827.91,1823.8899999999999,1938.6813333333334,36.99146252850938,1859.1823180388885
2025-04-06,ETH,1579.65,1375390891.8,1791.3428571428574,1919.9720000000002,100.14895884202241,1848.3838544311109
2025-04-07,ETH,1552.42,2651234444.53,1752.8114285714287,1898.2779999999998,132.86701025568428,1794.6370835448888
2025-04-08,ETH,1472.15,1332975047.94,1690.9428571428573,1880.016,149.815013790813,1746.1936668359112
2025-04-09,ETH,1669.0,2073024511.21,1672.9957142857145,1873.5033333333333,142.6785407664264,1691.384933468729
2025-04-10,ETH,1521.51,1330455912.67,1630.8814285714286,1860.121,136.70932770279893,1686.9079467749832
2025-04-11,ETH,1566.02,891270709.03,1595.1342857142859,1848.725,110.33066344057367,1653.8283574199868
2025-04-12,ETH,1643.84,610788400.42,1572.0842857142857,1841.3906666666667,67.78256630754873,1636.2666859359895
2025-04-13,ETH,1597.18,819443109.52,1574.5885714285712,1830.9123333333334,68.4294192163345,1637.7813487487917
2025-04-14,ETH,1623.79,946070662.59,1584.7842857142857,1820.4566666666665,69.87748728002833,1629.6610789990336
2025-04-15,ETH,1588.7,816144949.08,1601.4342857142858,1810.5153333333333,49.47301010218051,1628.486863199227
2025-04-16,ETH,1577.24,890121272.88,1588.3257142857144,1798.8763333333334,39.79712630208165,1620.5294905593817
2025-04-17,ETH,1583.68,649565838.07,1597.207142857143,1787.2813333333334,27.410314794651644,1611.8715924475055
2025-04-18,ETH,1588.56,287426875.95,1600.4271428571428,1771.669333333333,24.281366459527884,1606.2332739580045
2025-04-19,ETH,1612.74,304710533.5,1595.984285714286,1759.3386666666668,16.66466307001567,1602.6986191664037
2025-04-20,ETH,1587.31,348453526.51,1594.5742857142857,1746.7463333333333,16.96153870488023,1604.706895333123
2025-04-21,ETH,1579.7,836176542.33,1588.2757142857142,1733.3896666666665,11.662941105792216,1601.2275162664985
2025-04-22,ETH,1757.04,1378567169.81,1612.3242857142855,1725.0893333333333,64.87039999288638,1596.922013013199
2025-04-23,ETH,1795.87,1411088123.18,1643.5571428571427,1715.5673333333334,92.08573481892678,1628.9456104105593
2025-04-24,ETH,1770.44,869951343.89,1670.2371428571428,1705.6946666666668,98.6660408844313,1662.3304883284475
2025-04-25,ETH,1785.94,1028226623.47,1698.4342857142856,1698.238,99.63296741157882,1683.952390662758
2025-04-26,ETH,1821.45,535455658.73,1728.25,1692.1763333333333,100.93470397571485,1704.3499125302067
2025-04-27,ETH,1791.85,520004273.7,1757.47,1688.6996666666666,80.96409121743463,1727.7699300241654
2025-04-28,ETH,1800.19,1035461893.1,1788.9685714285713,1687.7833333333333,20.851897938013742,1740.5859440193326
2025-04-29,ETH,1798.47,808620394.56,1794.887142857143,1687.483,15.462033840166715,1752.5067552154662
2025-04-30,ETH,1793.83,773685384.34,1794.5957142857144,1686.5393333333334,15.459646241199485,1761.699404172373
2025-05-01,ETH,1838.83,751083284.45,1804.3657142857141,1684.326,18.88123923995263,1768.1255233378986
2025-05-02,ETH,1842.84,575346916.02,1812.4942857142858,1685.933,21.66893002826002,1782.2664186703191
2025-05-03,ETH,1833.95,291868877.83,1814.28,1686.5210000000002,23.00390039387945,1794.3811349362554
2025-05-04,ETH,1809.0,335700955.44,1816.7299999999998,1686.2793333333334,21.046902384868513,1802.2949079490045
2025-05-05,ETH,1820.05,556587730.73,1819.567142857143,1686.7746666666667,19.743934692482927,1803.6359263592037
2025-05-06,ETH,1816.98,609473060.9,1822.2114285714285,1694.6856666666667,17.566995027149012,1806.918741087363
2025-05-07,ETH,1811.34,754227976.34,1824.712857142857,1703.3163333333332,13.665518302440766,1808.9309928698906
2025-05-08,ETH,2207.19,1973692015.1,1877.3357142857142,1727.8176666666666,145.95992245100248,1809.4127942959126
2025-05-09,ETH,2345.32,2617510161.4,1949.1185714285714,1750.3616666666667,227.14741215258562,1888.9682354367303
2025-05-10,ETH,2583.77,1784431662.12,2056.2357142857145,1785.7703333333334,321.13749417017897,1980.2385883493844
2025-05-11,ETH,2514.75,1513299417.69,2157.057142857143,1817.3946666666668,340.76650596922315,2100.9448706795074
2025-05-12,ETH,2495.56,2051277136.7,2253.558571428571,1845.7853333333333,324.6930754537505,2183.7058965436063
2025-05-13,ETH,2680.04,1873346978.72,2376.8528571428574,1881.8806666666667,293.663285965074,2246.076717234885
2025-05-14,ETH,2610.07,1542184822.16,2490.957142857143,1914.756666666667,163.74557558543157,2332.8693737879084
2025-05-15,ETH,2549.0,1528520349.7,2539.787142857143,1946.7666666666667,105.69632660190894,2388.309499030327
